CounDist,BoroCD,AssemDist,the_geom,CongDist,StSenDist,SHELTER_ID,LOCATION,AT_BETWEEN,LONGITUDE,LATITUDE,AssetID,BoroCode,BoroName,Street,SegmentID,PhysicalID,NODEID
34,301,53,POINT (-73.94783099999995 40.70681200000007),7,18,BR0003,MONTROSE AV,LORIMER ST,-73.947831,40.706812,1,3,Brooklyn,MONTROSE AVENUE,0031244,91546,0
34,301,50,POINT (-73.94516199999998 40.71909700000003),12,18,BR0014,GRAHAM AV,HERBERT ST,-73.945162,40.719097,2,3,Brooklyn,GRAHAM AVENUE,0035598,45754,0
34,301,53,POINT (-73.94578299999995 40.702976000000035),7,18,BR0026,BROADWAY,LEONARD ST,-73.945783,40.702976,3,3,Brooklyn,BROADWAY,0031350,43972,19920
34,301,50,POINT (-73.94083599999993 40.72019500000005),12,18,BR0028,KINGSLAND AV,HERBERT ST,-73.940836,40.720195,4,3,Brooklyn,KINGSLAND AVENUE,0065844,48893,40551
35,302,50,POINT (-73.96979499999998 40.69344000000007),8,25,BR0040,VANDERBILT AV,MYRTLE AV,-73.969795,40.69344,5,3,Brooklyn,VANDERBILT AVENUE,0030196,60512,0
33,302,52,POINT (-73.99205599999993 40.68948800000004),7,26,BR0049,Atlantic Av,COURT ST,-73.992056,40.689488,6,3,Brooklyn,ATLANTIC AVENUE,0115088,43130,0
33,302,52,POINT (-73.99267499999996 40.689883000000066),7,26,BR0050,Atlantic Av,COURT ST,-73.992675,40.689883,7,3,Brooklyn,ATLANTIC AVENUE,0023814,43129,0
33,302,52,POINT (-73.99149099999994 40.696791000000076),7,26,BR0055,Cadman Plz West,CLARK ST,-73.991491,40.696791,8,3,Brooklyn,CADMAN PLAZA WEST,0262639,148684,9036273
33,302,52,POINT (-73.98756899999995 40.690251000000046),7,25,BR0058,LIVINGSTON ST,SMITH ST,-73.987569,40.690251,9,3,Brooklyn,LIVINGSTON STREET,0024185,55244,0
35,302,57,POINT (-73.96923899999996 40.68965000000003),8,25,BR0062,VANDERBILT AV,DEKALB AV,-73.969239,40.68965,10,3,Brooklyn,VANDERBILT AVENUE,0030180,60510,0
36,303,56,POINT (-73.94537699999995 40.690270000000055),8,25,BR0085,TOMPKINS AV,LAFAYETTE AV,-73.945377,40.69027,11,3,Brooklyn,TOMPKINS AVENUE,0031293,44634,0
36,303,56,POINT (-73.93494899999996 40.679400000000044),8,25,BR0097,TROY AV,FULTON ST,-73.934949,40.6794,12,3,Brooklyn,TROY AVENUE,0043191,47956,26817
36,303,57,POINT (-73.95539999999994 40.68110000000007),8,25,BR0105,FULTON ST BETWEEN FRANKLIN AV & SPENSER,BETWEEN FRANKLIN AV & SPENSER,-73.9554,40.6811,13,3,Brooklyn,FULTON STREET,0029564,39107,0
36,303,56,POINT (-73.94329499999998 40.69613500000003),8,18,BR0113,MYRTLE AV,THROOP AV,-73.943295,40.696135,14,3,Brooklyn,MYRTLE AVENUE,9007438,43628,9002489
36,303,56,POINT (-73.95231899999999 40.695092000000045),7,18,BR0131,MYRTLE AV,NOSTRAND AV,-73.952319,40.695092,15,3,Brooklyn,MYRTLE AVENUE,9008424,43625,19748
37,304,53,POINT (-73.92362099999997 40.699429000000066),7,18,BR0140,WILSON AV,DEKALB AV,-73.923621,40.699429,16,3,Brooklyn,WILSON AVENUE,0044875,72378,0
37,304,54,POINT (-73.90937099999996 40.69147600000008),7,18,BR0143,WILSON AV,HALSEY ST,-73.909371,40.691476,17,3,Brooklyn,WILSON AVENUE,0045356,72399,28008
